IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
3.112.21.102,4,4,0,79.41,41.25
104.16.53.169,4,4,0,186.13,32.22
104.18.1.221,4,4,0,189.22,31.29
104.18.178.232,4,4,0,186.25,23.55
104.16.22.29,4,4,0,193.21,22.48
172.67.149.233,4,4,0,186.56,22.07
104.16.163.96,4,4,0,193.35,21.28
104.16.58.0,4,4,0,186.27,15.28
104.24.85.169,4,4,0,193.08,14.15
104.17.17.158,4,4,0,186.26,13.25
104.16.61.249,4,4,0,186.19,12.7
104.20.217.12,4,4,0,192.14,10.54
104.18.186.129,4,4,0,186.22,10.27
104.18.179.88,4,4,0,185.33,9.09
104.18.177.135,4,4,0,185.6,7.4
172.64.33.204,4,4,0,193.62,5.3
220.130.80.179,4,4,0,81.05,5.24
104.16.21.215,4,4,0,192,4.01
104.17.79.30,4,4,0,63.4,3.71
104.16.23.173,4,4,0,193.57,3.26
